empresa_estacao,COD_AREA,COD_UF,UF,cidade,COD_IBGE,situacao,TCN_2G,TCN_3G,TCN_4G,TCN_5G
TIM,27,32,Espírito Santo,Nova Venécia,3203908,Licenciada,12,19,5,null
CLARO,62,52,Goiás,Anápolis,5201108,Licenciada,54,68,68,31
TIM,85,23,Ceará,Fortaleza,2304400,Licenciada,176,210,371,361
CLARO,11,35,São Paulo,Santa Isabel,3546801,Licenciada,10,9,13,1
TIM,84,24,Rio Grande do Norte,Caiçara do Rio do Vento,2401909,Licenciada,1,1,2,null
VIVO,63,17,Tocantins,Formoso do Araguaia,1708205,Licenciada,1,1,2,null
TIM,18,35,São Paulo,Anhumas,3502408,Licenciada,2,2,1,null
TIM,88,23,Ceará,Independência,2305605,Licenciada,2,2,3,null
CLARO,64,52,Goiás,Rio Verde,5218805,Licenciada,24,31,31,22
CLARO,27,32,Espírito Santo,Mantenópolis,3203304,Licenciada,1,1,1,null
VIVO,32,31,Minas Gerais,Leopoldina,3138401,Licenciada,4,9,12,null
ALGAR,34,31,Minas Gerais,Frutal,3127107,Licenciada,13,12,12,8
TIM,75,29,Bahia,Mucugê,2921906,Licenciada,null,null,2,null
VIVO,51,43,Rio Grande do Sul,Tramandaí,4321600,Licenciada,12,13,18,6
CLARO,41,41,Paraná,Pontal do Paraná,4119954,Licenciada,7,6,7,null
VIVO,31,31,Minas Gerais,São Joaquim de Bicas,3162922,Licenciada,1,3,3,null
CLARO,86,22,Piauí,Juazeiro do Piauí,2205516,Licenciada,null,1,1,null
CLARO,88,23,Ceará,Iracema,2306009,Licenciada,1,1,1,null
VIVO,33,31,Minas Gerais,Ubaporanga,3170057,Licenciada,1,3,3,null
VIVO,48,42,Santa Catarina,Santa Rosa do Sul,4215653,Licenciada,null,1,1,null
TIM,17,35,São Paulo,Uchoa,3555604,Licenciada,4,4,3,null
VIVO,92,13,Amazonas,Autazes,1300300,Licenciada,1,3,3,null
VIVO,81,26,Pernambuco,Chã Grande,2604502,Licenciada,null,1,1,null
CLARO,67,50,Mato Grosso do Sul,Aquidauana,5001102,Licenciada,5,7,8,1
TIM,48,42,Santa Catarina,Santa Rosa de Lima,4215604,Licenciada,1,1,2,1
VIVO,83,25,Paraíba,Santa Helena,2513307,Licenciada,null,1,1,null
TIM,38,31,Minas Gerais,Manga,3139300,Licenciada,2,2,3,null
CLARO,34,31,Minas Gerais,Matutina,3141207,Licenciada,1,1,1,null
TIM,47,42,Santa Catarina,Itaiópolis,4208104,Licenciada,1,1,1,null
CLARO,97,13,Amazonas,Envira,1301506,Licenciada,1,1,1,null
TIM,15,35,São Paulo,Boituva,3507001,Licenciada,6,4,6,null
VIVO,32,31,Minas Gerais,Lagoa Dourada,3137403,Licenciada,1,1,1,null
TIM,35,31,Minas Gerais,Jesuânia,3135902,Licenciada,null,1,1,null
TIM,85,23,Ceará,Paraipaba,2310258,Licenciada,2,2,1,1
TIM,51,43,Rio Grande do Sul,Campo Bom,4303905,Licenciada,4,5,6,null
CLARO,28,32,Espírito Santo,Castelo,3201407,Licenciada,3,3,4,null
VIVO,37,31,Minas Gerais,Carmópolis de Minas,3114501,Licenciada,1,3,3,null
VIVO,79,28,Sergipe,Santa Rosa de Lima,2806503,Licenciada,null,1,1,null
CLARO,83,25,Paraíba,Mulungu,2509800,Licenciada,1,1,1,null
CLARO,75,29,Bahia,Paripiranga,2923803,Licenciada,null,2,null,null
VIVO,91,15,Pará,Viseu,1508308,Licenciada,null,1,1,null
CLARO,77,29,Bahia,Serra Dourada,2930303,Licenciada,1,1,1,null
CLARO,63,17,Tocantins,Novo Acordo,1715101,Licenciada,2,1,2,null
CLARO,69,11,Rondônia,Nova União,1101435,Licenciada,null,2,1,null
TIM,51,43,Rio Grande do Sul,Salvador do Sul,4316501,Licenciada,3,null,3,null
TIM,49,42,Santa Catarina,Rio das Antas,4214409,Licenciada,null,2,2,null
TIM,75,29,Bahia,Conceição da Feira,2908200,Licenciada,2,2,2,null
VIVO,55,43,Rio Grande do Sul,Santo Augusto,4317806,Licenciada,1,1,2,null
TIM,38,31,Minas Gerais,Campo Azul,3111150,Licenciada,null,null,1,null
CLARO,99,21,Maranhão,Tasso Fragoso,2112001,Licenciada,1,1,1,null
CLARO,88,23,Ceará,São Benedito,2312304,Licenciada,2,2,2,null
CLARO,94,15,Pará,Conceição do Araguaia,1502707,Licenciada,2,2,2,null
CLARO,33,31,Minas Gerais,Ataléia,3104700,Licenciada,1,1,1,null
VIVO,11,35,São Paulo,Mairinque,3528403,Licenciada,6,10,11,null
TIM,48,42,Santa Catarina,Morro Grande,4211256,Licenciada,1,1,1,null
CLARO,33,31,Minas Gerais,Gonzaga,3127503,Licenciada,1,1,2,null
VIVO,43,41,Paraná,Rancho Alegre,4121307,Licenciada,1,1,1,null
CLARO,74,29,Bahia,Irecê,2914604,Licenciada,1,2,2,null
CLARO,27,32,Espírito Santo,Fundão,3202207,Licenciada,5,1,5,null
VIVO,18,35,São Paulo,Avanhandava,3504404,Licenciada,2,3,3,null
TIM,42,41,Paraná,General Carneiro,4108502,Licenciada,1,1,5,1
TIM,99,21,Maranhão,Lago dos Rodrigues,2105948,Licenciada,null,1,1,null
TIM,31,31,Minas Gerais,São José da Lapa,3162955,Licenciada,2,1,1,null
CLARO,17,35,São Paulo,Álvares Florence,3501202,Licenciada,1,1,1,null
VIVO,18,35,São Paulo,Pracinha,3540853,Licenciada,null,2,2,null
VIVO,55,43,Rio Grande do Sul,Barra do Guarita,4301859,Licenciada,1,1,1,null
VIVO,91,15,Pará,Mãe do Rio,1504059,Licenciada,1,2,2,null
TIM,89,22,Piauí,Sebastião Barros,2210623,Licenciada,null,1,1,null
CLARO,17,35,São Paulo,Catanduva,3511102,Licenciada,9,18,19,null
CLARO,88,23,Ceará,Aiuaba,2300408,Licenciada,2,1,2,null
CLARO,67,50,Mato Grosso do Sul,Juti,5005152,Licenciada,null,1,1,null
VIVO,88,23,Ceará,Lavras da Mangabeira,2307502,Licenciada,null,7,8,null
CLARO,13,35,São Paulo,Santos,3548500,Licenciada,60,91,93,36
BRISANET,88,23,Ceará,Ipueiras,2305902,Licenciada,null,null,5,5
CLARO,87,26,Pernambuco,Moreilândia,2614303,Licenciada,1,1,1,null
TIM,82,27,Alagoas,Jaramataia,2703700,Licenciada,2,2,2,null
TIM,81,26,Pernambuco,Amaraji,2600906,Licenciada,2,2,2,null
VIVO,31,31,Minas Gerais,Nova União,3136603,Licenciada,1,1,3,null
CLARO,82,27,Alagoas,Inhapi,2703304,Licenciada,null,1,1,null
CLARO,86,22,Piauí,Joaquim Pires,2205409,Licenciada,null,1,1,null
ALGAR,34,31,Minas Gerais,Santa Vitória,3159803,Licenciada,7,7,6,3
VIVO,33,31,Minas Gerais,Galiléia,3127305,Licenciada,1,3,4,null
TIM,64,52,Goiás,Santa Helena de Goiás,5219308,Licenciada,5,1,5,null
CLARO,33,31,Minas Gerais,Engenheiro Caldas,3123700,Licenciada,2,1,2,null
TIM,83,25,Paraíba,Olivedos,2510501,Licenciada,null,null,1,null
CLARO,81,26,Pernambuco,Escada,2605202,Licenciada,5,6,6,null
CLARO,89,22,Piauí,São Raimundo Nonato,2210607,Licenciada,3,3,3,null
VIVO,44,41,Paraná,Paraíso do Norte,4118006,Licenciada,1,1,1,null
CLARO,31,31,Minas Gerais,Rio Doce,3155009,Licenciada,1,1,1,null
CLARO,49,42,Santa Catarina,Zortéa,4219853,Licenciada,1,1,1,null
CLARO,43,41,Paraná,Quatiguá,4120705,Licenciada,1,1,1,null
CLARO,96,16,Amapá,Itaubal,1600253,Licenciada,1,1,1,null
TIM,88,23,Ceará,Ipaporanga,2305654,Licenciada,1,1,2,null
VIVO,99,21,Maranhão,Nova Iorque,2107308,Licenciada,1,1,1,null
VIVO,54,43,Rio Grande do Sul,Nonoai,4312708,Licenciada,1,1,1,null
VIVO,47,42,Santa Catarina,Bela Vista do Toldo,4202131,Licenciada,null,1,1,null
VIVO,24,33,Rio de Janeiro,Vassouras,3306206,Licenciada,1,4,4,null
CLARO,44,41,Paraná,Floresta,4107900,Licenciada,2,1,2,null
CLARO,51,43,Rio Grande do Sul,Mariana Pimentel,4311981,Licenciada,1,1,1,null
CLARO,88,23,Ceará,Senador Pompeu,2312700,Licenciada,1,1,1,null
VIVO,48,42,Santa Catarina,São Ludgero,4217006,Licenciada,1,1,1,null
ALGAR,16,35,São Paulo,Altinópolis,3501004,Licenciada,2,1,1,null
TIM,87,26,Pernambuco,São José do Egito,2613602,Licenciada,3,3,3,null
VIVO,42,41,Paraná,Tibagi,4127502,Licenciada,5,1,4,null
VIVO,42,41,Paraná,Ponta Grossa,4119905,Licenciada,23,38,84,37
VIVO,33,31,Minas Gerais,Bom Jesus do Galho,3107802,Licenciada,1,4,4,null
CLARO,45,41,Paraná,Santa Tereza do Oeste,4124020,Licenciada,2,1,2,null
CLARO,77,29,Bahia,Caetité,2905206,Licenciada,2,1,2,null
CLARO,31,31,Minas Gerais,Itambé do Mato Dentro,3132800,Licenciada,1,1,1,null
VIVO,92,13,Amazonas,Barreirinha,1300508,Licenciada,2,3,4,null
CLARO,74,29,Bahia,Pilão Arcado,2924405,Licenciada,1,1,1,null
VIVO,33,31,Minas Gerais,Chapada do Norte,3116100,Licenciada,null,5,7,null
TIM,37,31,Minas Gerais,Pedra do Indaiá,3148905,Licenciada,3,2,1,null
TIM,24,33,Rio de Janeiro,Valença,3306107,Licenciada,5,4,8,null
TIM,82,27,Alagoas,Santana do Ipanema,2708006,Licenciada,4,4,4,null
VIVO,55,43,Rio Grande do Sul,Seberi,4320206,Licenciada,1,2,2,null
CLARO,19,35,São Paulo,Serra Negra,3551603,Licenciada,7,8,9,null
TIM,12,35,São Paulo,Lavrinhas,3526605,Licenciada,4,3,4,null
VIVO,84,24,Rio Grande do Norte,São Bento do Trairí,2411700,Licenciada,1,1,1,null
CLARO,35,31,Minas Gerais,Bueno Brandão,3109105,Licenciada,null,1,1,null
VIVO,82,27,Alagoas,Canapi,2701605,Licenciada,1,2,2,null
VIVO,16,35,São Paulo,Morro Agudo,3531902,Licenciada,1,1,2,null
TIM,95,14,Roraima,Caracaraí,1400209,Licenciada,2,null,2,null
VIVO,98,21,Maranhão,Alcântara,2100204,Licenciada,1,1,2,null
CLARO,15,35,São Paulo,Quadra,3541653,Licenciada,2,2,2,null
VIVO,89,22,Piauí,Ipiranga do Piauí,2204808,Licenciada,null,1,1,null
VIVO,42,41,Paraná,Imbituva,4110102,Licenciada,1,1,2,null
CLARO,67,50,Mato Grosso do Sul,Aral Moreira,5001243,Licenciada,1,1,1,null
VIVO,33,31,Minas Gerais,Pedra Azul,3148707,Licenciada,1,4,4,null
CLARO,15,35,São Paulo,Tapiraí,3553500,Licenciada,1,1,1,null
TIM,33,31,Minas Gerais,Frei Lagonegro,3126950,Licenciada,null,1,1,null
CLARO,88,23,Ceará,Carnaubal,2303402,Licenciada,null,1,1,null
CLARO,91,15,Pará,Tomé-Açu,1508001,Licenciada,5,3,5,null
VIVO,79,28,Sergipe,Feira Nova,2802205,Licenciada,1,1,1,null
CLARO,77,29,Bahia,Guanambi,2911709,Licenciada,2,6,5,null
TIM,15,35,São Paulo,Barra do Turvo,3505401,Licenciada,4,3,5,null
VIVO,16,35,São Paulo,Taiúva,3553203,Licenciada,2,2,2,null
VIVO,91,15,Pará,Abaetetuba,1500107,Licenciada,2,7,11,7
VIVO,49,42,Santa Catarina,Timbó Grande,4218251,Licenciada,null,2,2,null
TIM,95,14,Roraima,Amajari,1400027,Licenciada,1,null,1,null
TIM,33,31,Minas Gerais,Santa Rita do Itueto,3159506,Licenciada,1,1,2,null
TIM,14,35,São Paulo,Manduri,3528601,Licenciada,2,2,1,null
TIM,47,42,Santa Catarina,Doutor Pedrinho,4205159,Licenciada,1,3,3,null
TIM,75,29,Bahia,Cruz das Almas,2909802,Licenciada,2,2,2,1
CLARO,45,41,Paraná,Diamante D'Oeste,4107157,Licenciada,1,1,1,null
CLARO,69,11,Rondônia,Vale do Anari,1101757,Licenciada,2,2,2,null
CLARO,91,15,Pará,Santarém Novo,1506906,Licenciada,3,1,3,null
VIVO,89,22,Piauí,Guadalupe,2204501,Licenciada,null,1,2,null
TIM,99,21,Maranhão,Benedito Leite,2101806,Licenciada,1,1,1,null
CLARO,42,41,Paraná,Mallet,4113908,Licenciada,1,1,1,null
VIVO,51,43,Rio Grande do Sul,Arambaré,4300851,Licenciada,2,2,2,null
TIM,77,29,Bahia,Tanque Novo,2931053,Licenciada,null,null,1,null
CLARO,38,31,Minas Gerais,Ninheira,3144656,Licenciada,null,1,null,null
TIM,16,35,São Paulo,Trabiju,3554755,Licenciada,null,1,2,null
VIVO,32,31,Minas Gerais,Santa Rita de Jacutinga,3159308,Licenciada,null,2,null,null
VIVO,87,26,Pernambuco,Quixaba,2611533,Licenciada,null,1,1,null
CLARO,87,26,Pernambuco,Petrolândia,2611002,Licenciada,1,3,3,null
CLARO,44,41,Paraná,Roncador,4122503,Licenciada,1,1,1,null
TIM,14,35,São Paulo,Bofete,3506904,Licenciada,4,4,5,null
VIVO,38,31,Minas Gerais,Morro da Garça,3143609,Licenciada,1,1,1,null
CLARO,15,35,São Paulo,Ribeirão Grande,3543253,Licenciada,2,1,2,null
TIM,62,52,Goiás,Iaciara,5209903,Licenciada,1,null,1,null
TIM,84,24,Rio Grande do Norte,Lagoa d'Anta,2406205,Licenciada,null,1,1,null
CLARO,49,42,Santa Catarina,São Carlos,4216008,Licenciada,2,3,3,null
TIM,49,42,Santa Catarina,Cerro Negro,4204178,Licenciada,null,1,1,null
TIM,44,41,Paraná,Mariluz,4115101,Licenciada,1,3,3,null
TIM,31,31,Minas Gerais,São Miguel do Anta,3163805,Licenciada,1,null,1,null
TIM,91,15,Pará,Concórdia do Pará,1502756,Licenciada,null,null,1,null
VIVO,14,35,São Paulo,Brotas,3507902,Licenciada,2,5,6,1
TIM,98,21,Maranhão,Paulino Neves,2108058,Licenciada,null,null,2,null
VIVO,64,52,Goiás,Bom Jardim de Goiás,5203401,Licenciada,1,1,2,null
CLARO,35,31,Minas Gerais,São Lourenço,3163706,Licenciada,7,4,7,null
VIVO,91,15,Pará,Igarapé-Açu,1503200,Licenciada,1,1,4,1
BRISANET,85,23,Ceará,Baturité,2302107,Licenciada,null,null,3,3
TIM,35,31,Minas Gerais,Cachoeira de Minas,3109709,Licenciada,2,1,1,null
CLARO,51,43,Rio Grande do Sul,Canoas,4304606,Licenciada,29,41,41,12
CLARO,31,31,Minas Gerais,Santa Luzia,3157807,Licenciada,14,24,27,16
VIVO,65,51,Mato Grosso,São José dos Quatro Marcos,5107107,Licenciada,1,3,3,null
CLARO,28,32,Espírito Santo,Ibitirama,3202553,Licenciada,1,1,1,null
CLARO,31,31,Minas Gerais,Vespasiano,3171204,Licenciada,9,16,19,5
VIVO,54,43,Rio Grande do Sul,Marau,4311809,Licenciada,3,5,6,3
CLARO,88,23,Ceará,Itapipoca,2306405,Licenciada,2,5,8,3
CLARO,88,23,Ceará,Coreaú,2304004,Licenciada,1,2,1,null
CLARO,73,29,Bahia,São José da Vitória,2929354,Licenciada,1,1,1,null
VIVO,97,13,Amazonas,Tapauá,1304104,Licenciada,1,null,null,null
TIM,54,43,Rio Grande do Sul,Trindade do Sul,4321956,Licenciada,null,null,1,null
VIVO,73,29,Bahia,Itacaré,2914901,Licenciada,2,6,9,3
TIM,83,25,Paraíba,São José dos Ramos,2514453,Licenciada,null,1,1,null
CLARO,89,22,Piauí,Jacobina do Piauí,2205151,Licenciada,2,2,2,null
VIVO,55,43,Rio Grande do Sul,Porto Xavier,4315107,Licenciada,2,2,2,null
CLARO,31,31,Minas Gerais,Antônio Dias,3103009,Licenciada,3,4,4,null
CLARO,49,42,Santa Catarina,Santa Cecília,4215505,Licenciada,1,1,1,null
CLARO,88,23,Ceará,Acopiara,2300309,Licenciada,2,3,4,null
TIM,98,21,Maranhão,Vitória do Mearim,2112902,Licenciada,2,2,3,null
CLARO,54,43,Rio Grande do Sul,Barra do Rio Azul,4301925,Licenciada,1,1,1,null
CLARO,49,42,Santa Catarina,Herval d'Oeste,4206702,Licenciada,1,1,1,null
VIVO,87,26,Pernambuco,Verdejante,2616100,Licenciada,1,1,1,null
VIVO,55,43,Rio Grande do Sul,Bossoroca,4302501,Licenciada,1,1,1,null
VIVO,91,15,Pará,Santa Luzia do Pará,1506559,Licenciada,1,2,3,null
CLARO,54,43,Rio Grande do Sul,Ibirapuitã,4309951,Licenciada,1,1,1,null
CLARO,33,31,Minas Gerais,Santo Antônio do Jacinto,3160306,Licenciada,1,1,1,null
VIVO,83,25,Paraíba,Amparo,2500734,Licenciada,null,1,1,null
VIVO,87,26,Pernambuco,Jucati,2608255,Licenciada,1,1,1,null
CLARO,82,27,Alagoas,Novo Lino,2705606,Licenciada,1,1,1,null
TIM,83,25,Paraíba,São Vicente do Seridó,2515401,Licenciada,null,1,1,null
CLARO,32,31,Minas Gerais,Juiz de Fora,3136702,Licenciada,43,67,85,80
CLARO,12,35,São Paulo,Ilhabela,3520400,Licenciada,6,9,9,null
TIM,41,41,Paraná,Quatro Barras,4120804,Licenciada,2,3,5,null
VIVO,81,26,Pernambuco,Goiana,2606200,Licenciada,11,19,17,null
CLARO,85,23,Ceará,Umirim,2313757,Licenciada,2,1,2,null
VIVO,49,42,Santa Catarina,Capinzal,4203907,Licenciada,1,2,2,2
VIVO,35,31,Minas Gerais,Ingaí,3130804,Licenciada,1,1,1,null
VIVO,44,41,Paraná,Guaíra,4108809,Licenciada,3,1,8,null
VIVO,69,11,Rondônia,Alvorada D'Oeste,1100346,Licenciada,1,1,2,null
TIM,49,42,Santa Catarina,Correia Pinto,4204558,Licenciada,1,1,2,null
CLARO,67,50,Mato Grosso do Sul,Nova Andradina,5006200,Licenciada,3,3,4,null
TIM,31,31,Minas Gerais,São Brás do Suaçuí,3160900,Licenciada,null,null,2,null
TIM,84,24,Rio Grande do Norte,Januário Cicco,2405306,Licenciada,null,1,1,null
CLARO,51,43,Rio Grande do Sul,Candelária,4304200,Licenciada,3,3,4,null
TIM,14,35,São Paulo,Alvinlândia,3501509,Licenciada,null,1,1,null
CLARO,63,17,Tocantins,Ponte Alta do Bom Jesus,1717800,Licenciada,1,1,1,null
TIM,85,23,Ceará,Cascavel,2303501,Licenciada,4,3,5,1
VIVO,79,28,Sergipe,Cumbe,2801900,Licenciada,1,1,1,null
VIVO,51,43,Rio Grande do Sul,Feliz,4308102,Licenciada,1,1,1,null
VIVO,67,50,Mato Grosso do Sul,Ladário,5005202,Licenciada,2,2,6,null
TIM,87,26,Pernambuco,São José do Belmonte,2613503,Licenciada,2,1,2,null
VIVO,49,42,Santa Catarina,São Carlos,4216008,Licenciada,2,1,1,null
VIVO,64,52,Goiás,Três Ranchos,5221304,Licenciada,1,1,2,null
TIM,62,52,Goiás,Ouro Verde de Goiás,5215405,Licenciada,null,null,1,null
TIM,77,29,Bahia,Luís Eduardo Magalhães,2919553,Licenciada,13,4,7,2
VIVO,28,32,Espírito Santo,Apiacá,3200508,Licenciada,2,4,4,null
VIVO,97,13,Amazonas,Anamã,1300086,Licenciada,2,2,3,null
VIVO,42,41,Paraná,Ortigueira,4117305,Licenciada,7,2,3,null
CLARO,54,43,Rio Grande do Sul,Vacaria,4322509,Licenciada,7,5,8,null
TIM,81,26,Pernambuco,Limoeiro,2608909,Licenciada,6,6,6,null
TIM,28,32,Espírito Santo,Conceição do Castelo,3201704,Licenciada,4,3,1,null
VIVO,47,42,Santa Catarina,Brusque,4202909,Licenciada,10,22,25,11
VIVO,79,28,Sergipe,Capela,2801306,Licenciada,1,6,6,null
VIVO,31,31,Minas Gerais,Sem-Peixe,3165560,Licenciada,null,2,2,null
CLARO,28,32,Espírito Santo,Divino de São Lourenço,3201803,Licenciada,1,1,1,null
VIVO,98,21,Maranhão,Pio XII,2108702,Licenciada,1,2,4,null
TIM,75,29,Bahia,Iaçu,2911907,Licenciada,1,1,1,null
CLARO,67,50,Mato Grosso do Sul,Maracaju,5005400,Licenciada,1,7,7,null
VIVO,83,25,Paraíba,Juarez Távora,2507606,Licenciada,1,2,1,null
TIM,77,29,Bahia,Licínio de Almeida,2919405,Licenciada,1,2,2,null
CLARO,51,43,Rio Grande do Sul,Minas do Leão,4312252,Licenciada,null,1,1,null
TIM,19,35,São Paulo,Espírito Santo do Pinhal,3515186,Licenciada,2,2,3,null
CLARO,27,32,Espírito Santo,Governador Lindenberg,3202256,Licenciada,2,1,2,null
VIVO,74,29,Bahia,Filadélfia,2910859,Licenciada,1,1,2,null
CLARO,51,43,Rio Grande do Sul,Brochier,4302659,Licenciada,1,1,1,null
CLARO,89,22,Piauí,Jerumenha,2205300,Licenciada,2,1,2,null
CLARO,73,29,Bahia,Itamaraju,2915601,Licenciada,2,2,2,null
CLARO,14,35,São Paulo,Dois Córregos,3514106,Licenciada,2,1,2,null
VIVO,49,42,Santa Catarina,Cordilheira Alta,4204350,Licenciada,null,2,2,null
VIVO,81,26,Pernambuco,Araçoiaba,2601052,Licenciada,null,1,1,null
CLARO,44,41,Paraná,Astorga,4102109,Licenciada,1,1,1,null
TIM,99,21,Maranhão,São Francisco do Brejão,2110856,Licenciada,null,1,1,null
VIVO,33,31,Minas Gerais,Cantagalo,3112059,Licenciada,null,1,1,null
VIVO,54,43,Rio Grande do Sul,Paraí,4314001,Licenciada,1,2,2,null
TIM,67,50,Mato Grosso do Sul,Laguna Carapã,5005251,Licenciada,null,1,1,null
TIM,24,33,Rio de Janeiro,Paraty,3303807,Licenciada,17,14,31,4
BRISANET,88,23,Ceará,Alcântaras,2300507,Licenciada,null,null,3,1
TIM,13,35,São Paulo,Guarujá,3518701,Licenciada,48,34,56,16
VIVO,83,25,Paraíba,Barra de Santana,2501575,Licenciada,1,2,1,null
CLARO,73,29,Bahia,Ilhéus,2913606,Licenciada,19,28,26,null
CLARO,91,15,Pará,Mocajuba,1504604,Licenciada,1,1,1,1
CLARO,67,50,Mato Grosso do Sul,Porto Murtinho,5006903,Licenciada,1,3,3,null
VIVO,44,41,Paraná,Paranavaí,4118402,Licenciada,6,6,6,6
VIVO,75,29,Bahia,Antas,2901601,Licenciada,2,2,2,null
TIM,64,52,Goiás,Joviânia,5212105,Licenciada,1,1,1,null
CLARO,88,23,Ceará,Massapê,2308005,Licenciada,3,2,2,null
TIM,66,51,Mato Grosso,Porto dos Gaúchos,5106802,Licenciada,2,null,2,null
VIVO,44,41,Paraná,São João do Caiuá,4124905,Licenciada,null,1,1,null
TIM,51,43,Rio Grande do Sul,Itapuca,4310579,Licenciada,1,null,1,null
VIVO,89,22,Piauí,Queimada Nova,2208650,Licenciada,null,null,1,null
TIM,15,35,São Paulo,Ribeirão Grande,3543253,Licenciada,3,1,1,null
TIM,37,31,Minas Gerais,Medeiros,3141306,Licenciada,null,null,1,null
CLARO,84,24,Rio Grande do Norte,Ipanguaçu,2404705,Licenciada,1,1,1,null
VIVO,83,25,Paraíba,Riachão,2512747,Licenciada,1,1,1,null
TIM,83,25,Paraíba,Itaporanga,2507002,Licenciada,2,1,1,null
TIM,89,22,Piauí,Oeiras,2207009,Licenciada,1,1,2,null
TIM,67,50,Mato Grosso do Sul,Itaquiraí,5004601,Licenciada,1,1,1,null
VIVO,89,22,Piauí,Paquetá,2207553,Licenciada,null,1,1,null
VIVO,54,43,Rio Grande do Sul,Protásio Alves,4315172,Licenciada,1,1,1,null
VIVO,99,21,Maranhão,Estreito,2104057,Licenciada,2,2,2,null
TIM,35,31,Minas Gerais,Ouro Fino,3146008,Licenciada,3,1,5,null
CLARO,51,43,Rio Grande do Sul,Presidente Lucena,4315149,Licenciada,1,1,1,null
VIVO,62,52,Goiás,Uirapuru,5221577,Licenciada,null,1,1,null
TIM,66,51,Mato Grosso,Nova Maringá,5108907,Licenciada,1,null,2,null
TIM,77,29,Bahia,Cocos,2908101,Licenciada,1,1,2,null
VIVO,51,43,Rio Grande do Sul,Caraá,4304713,Licenciada,1,2,2,null
CLARO,46,41,Paraná,Flor da Serra do Sul,4107850,Licenciada,1,1,1,null
TIM,98,21,Maranhão,São Luís,2111300,Licenciada,84,96,153,141
VIVO,55,43,Rio Grande do Sul,Santiago,4317400,Licenciada,5,6,6,null
CLARO,82,27,Alagoas,Flexeiras,2702801,Licenciada,2,1,2,null
TIM,44,41,Paraná,Terra Roxa,4127403,Licenciada,1,2,2,null
VIVO,15,35,São Paulo,Itapirapuã Paulista,3522653,Licenciada,null,2,2,null
VIVO,91,15,Pará,Tailândia,1507953,Licenciada,6,7,12,1
VIVO,35,31,Minas Gerais,Carmo da Cachoeira,3113909,Licenciada,3,2,4,null
TIM,55,43,Rio Grande do Sul,Braga,4302600,Licenciada,1,1,1,null
CLARO,87,26,Pernambuco,Lagoa do Ouro,2608602,Licenciada,1,1,1,null
BRISANET,84,24,Rio Grande do Norte,Nísia Floresta,2408201,Licenciada,null,null,7,3
CLARO,75,29,Bahia,Gavião,2911253,Licenciada,1,1,1,null
TIM,62,52,Goiás,Água Fria de Goiás,5200175,Licenciada,null,null,1,null
TIM,87,26,Pernambuco,Tabira,2614600,Licenciada,2,2,2,null
VIVO,55,43,Rio Grande do Sul,São Vicente do Sul,4319802,Licenciada,1,1,1,null
TIM,54,43,Rio Grande do Sul,Carlos Barbosa,4304804,Licenciada,2,1,5,null
CLARO,63,17,Tocantins,Abreulândia,1700251,Licenciada,1,1,1,null
VIVO,43,41,Paraná,Arapuã,4101655,Licenciada,null,1,1,null
TIM,79,28,Sergipe,Pirambu,2805307,Licenciada,2,1,1,null
CLARO,41,41,Paraná,Quatro Barras,4120804,Licenciada,3,4,4,null
VIVO,47,42,Santa Catarina,Balneário Piçarras,4212809,Licenciada,6,3,6,2
TIM,55,43,Rio Grande do Sul,Campina das Missões,4303707,Licenciada,1,1,1,null
VIVO,48,42,Santa Catarina,São João do Sul,4216404,Licenciada,1,2,2,null
VIVO,49,42,Santa Catarina,Guaraciaba,4206405,Licenciada,2,2,2,null
TIM,64,52,Goiás,Marzagão,5212907,Licenciada,1,null,1,null
TIM,38,31,Minas Gerais,Cristália,3120300,Licenciada,null,null,1,null
TIM,83,25,Paraíba,Fagundes,2506103,Licenciada,null,1,1,null
VIVO,86,22,Piauí,Morro do Chapéu do Piauí,2206670,Licenciada,1,1,1,null
VIVO,62,52,Goiás,Campos Verdes,5204953,Licenciada,null,1,1,null
VIVO,34,31,Minas Gerais,Cachoeira Dourada,3109808,Licenciada,1,1,1,null
VIVO,82,27,Alagoas,Monteirópolis,2705408,Licenciada,null,1,1,null
CLARO,15,35,São Paulo,Pilar do Sul,3537909,Licenciada,2,1,2,null
CLARO,32,31,Minas Gerais,Ressaquinha,3154408,Licenciada,1,null,1,null
CLARO,16,35,São Paulo,Nuporanga,3533601,Licenciada,1,1,1,null
VIVO,89,22,Piauí,São Gonçalo do Gurguéia,2209757,Licenciada,1,1,1,null
TIM,83,25,Paraíba,Itatuba,2507200,Licenciada,null,1,1,null
VIVO,84,24,Rio Grande do Norte,Natal,2408102,Licenciada,179,194,265,117
TIM,44,41,Paraná,Alto Paraná,4100608,Licenciada,1,1,2,null
ALGAR,34,31,Minas Gerais,Ibiá,3129509,Licenciada,null,3,null,null
TIM,75,29,Bahia,Biritinga,2903607,Licenciada,1,1,2,null
TIM,62,52,Goiás,Itapaci,5210901,Licenciada,2,null,4,null
VIVO,86,22,Piauí,Lagoa do Piauí,2205581,Licenciada,1,3,3,null
CLARO,65,51,Mato Grosso,Tangará da Serra,5107958,Licenciada,10,10,12,1
TIM,83,25,Paraíba,Massaranduba,2509206,Licenciada,1,1,1,null
VIVO,11,35,São Paulo,Itupeva,3524006,Licenciada,6,9,15,5
