empresa_estacao,COD_AREA,COD_UF,UF,cidade,COD_IBGE,situacao,TCN_2G,TCN_3G,TCN_4G,TCN_5G
TIM,64,52,Goiás,Morrinhos,5213806,Licenciada,2,4,4,null
TIM,35,31,Minas Gerais,Serranos,3167004,Licenciada,null,null,1,null
TIM,18,35,São Paulo,Salmourão,3545100,Licenciada,null,1,1,null
VIVO,49,42,Santa Catarina,Campo Belo do Sul,4203402,Licenciada,1,null,null,null
CLARO,89,22,Piauí,Sussuapara,2210938,Licenciada,null,1,1,null
VIVO,47,42,Santa Catarina,Lontras,4209904,Licenciada,1,1,1,null
TIM,33,31,Minas Gerais,São Domingos das Dores,3160959,Licenciada,null,null,1,null
TIM,99,21,Maranhão,Graça Aranha,2104701,Licenciada,null,null,1,null
CLARO,32,31,Minas Gerais,Pirapetinga,3151107,Licenciada,1,1,1,null
CLARO,63,17,Tocantins,Carrasco Bonito,1703891,Licenciada,null,1,null,null
TIM,98,21,Maranhão,Bacabeira,2101251,Licenciada,null,null,1,null
VIVO,89,22,Piauí,São Miguel do Fidalgo,2210391,Licenciada,null,null,1,null
CLARO,77,29,Bahia,Baianópolis,2902500,Licenciada,null,1,null,null
CLARO,19,35,São Paulo,Iracemápolis,3521408,Licenciada,3,4,4,null
CLARO,34,31,Minas Gerais,Cruzeiro da Fortaleza,3120706,Licenciada,1,null,1,null
TIM,38,31,Minas Gerais,Miravânia,3142254,Licenciada,null,1,1,null
TIM,31,31,Minas Gerais,Queluzito,3153806,Licenciada,null,null,1,null
VIVO,77,29,Bahia,Ibitiara,2913002,Licenciada,null,1,1,null
BRISANET,75,29,Bahia,Santo Antônio de Jesus,2928703,Licenciada,null,null,1,1
TIM,75,29,Bahia,Santanópolis,2928307,Licenciada,null,null,1,null
TIM,67,50,Mato Grosso do Sul,Paraíso das Águas,5006275,Licenciada,null,null,1,null
TIM,33,31,Minas Gerais,Imbé de Minas,3130556,Licenciada,null,null,2,null
VIVO,84,24,Rio Grande do Norte,Taipu,2413904,Licenciada,null,2,1,null
TIM,77,29,Bahia,Macaúbas,2919801,Licenciada,null,2,3,null
TIM,98,21,Maranhão,Altamira do Maranhão,2100402,Licenciada,null,null,1,null
TIM,63,17,Tocantins,Ipueiras,1709807,Licenciada,null,null,1,null
CLARO,83,25,Paraíba,Santa Cecília,2513158,Licenciada,null,1,null,null
CLARO,75,29,Bahia,Quijingue,2925907,Licenciada,null,1,null,null
CLARO,93,15,Pará,Belterra,1501451,Licenciada,null,1,null,null
VIVO,88,23,Ceará,Assaré,2301604,Licenciada,null,3,3,null
TIM,63,17,Tocantins,Lizarda,1712405,Licenciada,null,null,1,null
CLARO,75,29,Bahia,Crisópolis,2909604,Licenciada,null,1,null,null
VIVO,87,26,Pernambuco,Tuparetama,2615904,Licenciada,1,3,2,null
CLARO,48,42,Santa Catarina,Nova Veneza,4211603,Licenciada,4,3,4,null
CLARO,48,42,Santa Catarina,Pescaria Brava,4212650,Licenciada,null,1,1,null
BRISANET,85,23,Ceará,Paramoti,2310407,Licenciada,null,null,2,2
VIVO,87,26,Pernambuco,Bodocó,2602001,Licenciada,null,3,3,null
VIVO,31,31,Minas Gerais,Pedra Bonita,3148756,Licenciada,null,1,1,null
CLARO,73,29,Bahia,Nilo Peçanha,2922607,Licenciada,null,2,null,null
VIVO,51,43,Rio Grande do Sul,Tapes,4321105,Licenciada,1,2,2,null
ALGAR,34,31,Minas Gerais,Araguari,3103504,Licenciada,null,17,16,null
VIVO,88,23,Ceará,Mauriti,2308104,Licenciada,null,12,12,null
TIM,86,22,Piauí,São José do Divino,2210052,Licenciada,null,null,1,null
BRISANET,85,23,Ceará,Canindé,2302800,Licenciada,null,null,6,5
CLARO,14,35,São Paulo,Ibirarema,3519501,Licenciada,2,2,2,null
TIM,32,31,Minas Gerais,Eugenópolis,3124906,Licenciada,1,1,1,null
CLARO,63,17,Tocantins,Tocantínia,1721109,Licenciada,null,1,1,null
TIM,79,28,Sergipe,Cedro de São João,2801603,Licenciada,null,null,1,null
BRISANET,84,24,Rio Grande do Norte,Riachuelo,2410900,Licenciada,null,null,1,null
TIM,51,43,Rio Grande do Sul,Mato Leitão,4312153,Licenciada,null,null,1,null
TIM,54,43,Rio Grande do Sul,Maximiliano de Almeida,4312203,Licenciada,null,null,1,null
TIM,61,52,Goiás,Cabeceiras,5204003,Licenciada,null,2,2,null
TIM,35,31,Minas Gerais,Botelhos,3108404,Licenciada,2,1,2,null
TIM,38,31,Minas Gerais,Indaiabira,3130655,Licenciada,null,2,3,null
TIM,55,43,Rio Grande do Sul,Pinhal,4314456,Licenciada,null,null,1,null
BRISANET,87,26,Pernambuco,Calumbi,2603405,Licenciada,null,null,1,null
CLARO,88,23,Ceará,Ipaporanga,2305654,Licenciada,null,1,null,null
CLARO,84,24,Rio Grande do Norte,Porto do Mangue,2410256,Licenciada,null,1,null,null
TIM,77,29,Bahia,Buritirama,2904753,Licenciada,null,null,1,null
VIVO,84,24,Rio Grande do Norte,Marcelino Vieira,2407302,Licenciada,null,1,1,null
VIVO,88,23,Ceará,Mucambo,2309003,Licenciada,null,1,null,null
TIM,88,23,Ceará,Deputado Irapuan Pinheiro,2304269,Licenciada,null,null,1,null
TIM,92,13,Amazonas,Nhamundá,1303007,Licenciada,null,null,1,null
TIM,99,21,Maranhão,Riachão,2109502,Licenciada,null,null,4,null
CLARO,27,32,Espírito Santo,Água Doce do Norte,3200169,Licenciada,2,1,2,null
TIM,87,26,Pernambuco,Exu,2605301,Licenciada,2,1,2,null
TIM,82,27,Alagoas,São José da Laje,2708303,Licenciada,1,null,1,null
TIM,63,17,Tocantins,Carrasco Bonito,1703891,Licenciada,null,null,1,null
TIM,88,23,Ceará,Senador Sá,2312809,Licenciada,null,null,1,null
TIM,48,42,Santa Catarina,Nova Veneza,4211603,Licenciada,2,2,3,null
VIVO,97,13,Amazonas,Amaturá,1300060,Licenciada,1,null,null,null
TIM,35,31,Minas Gerais,Carvalhópolis,3114709,Licenciada,null,null,1,null
CLARO,46,41,Paraná,Verê,4128609,Licenciada,null,1,1,null
TIM,33,31,Minas Gerais,Palmópolis,3146750,Licenciada,null,null,1,null
VIVO,49,42,Santa Catarina,Calmon,4203154,Licenciada,null,1,1,null
CLARO,82,27,Alagoas,Maravilha,2704609,Licenciada,null,1,null,null
CLARO,62,52,Goiás,Heitoraí,5209606,Licenciada,1,1,1,null
CLARO,87,26,Pernambuco,Tupanatinga,2615805,Licenciada,null,1,null,null
CLARO,83,25,Paraíba,Baraúna,2501534,Licenciada,null,1,null,null
CLARO,54,43,Rio Grande do Sul,Mato Castelhano,4312138,Licenciada,null,1,null,null
CLARO,66,51,Mato Grosso,Matupá,5105606,Licenciada,1,1,1,null
TIM,84,24,Rio Grande do Norte,Pedra Grande,2409506,Licenciada,null,null,1,null
TIM,64,52,Goiás,Palestina de Goiás,5215652,Licenciada,null,null,1,null
TIM,55,43,Rio Grande do Sul,Rodeio Bonito,4315909,Licenciada,null,null,1,null
TIM,33,31,Minas Gerais,Pingo-d'Água,3150539,Licenciada,null,null,1,null
VIVO,38,31,Minas Gerais,Aricanduva,3104452,Licenciada,null,null,1,null
TIM,62,52,Goiás,Mara Rosa,5212808,Licenciada,1,null,5,null
TIM,96,16,Amapá,Itaubal,1600253,Licenciada,1,null,1,null
TIM,84,24,Rio Grande do Norte,Lajes Pintadas,2406809,Licenciada,null,null,2,null
TIM,98,21,Maranhão,Cachoeira Grande,2102374,Licenciada,null,null,1,null
VIVO,77,29,Bahia,Poções,2925105,Licenciada,1,1,1,null
TIM,55,43,Rio Grande do Sul,São Miguel das Missões,4319158,Licenciada,1,null,2,null
VIVO,89,22,Piauí,Currais,2203230,Licenciada,1,1,1,null
TIM,99,21,Maranhão,Davinópolis,2103752,Licenciada,null,null,1,null
TIM,35,31,Minas Gerais,Serrania,3166907,Licenciada,1,null,1,null
CLARO,47,42,Santa Catarina,Joinville,4209102,Licenciada,57,95,96,77
ALGAR,35,31,Minas Gerais,Andradas,3102605,Licenciada,null,3,null,null
UNIFIQUE TELECOMUNICACOES S/A,47,42,Santa Catarina,Schroeder,4217402,Licenciada,null,null,3,3
TIM,64,52,Goiás,Mairipotaba,5212600,Licenciada,null,null,1,null
TIM,34,31,Minas Gerais,Cascalho Rico,3115003,Licenciada,null,null,1,null
VIVO,97,13,Amazonas,Juruá,1302207,Licenciada,1,null,null,null
CLARO,31,31,Minas Gerais,Caetanópolis,3109907,Licenciada,2,null,2,null
TIM,63,17,Tocantins,Santa Maria do Tocantins,1718881,Licenciada,null,null,1,null
TIM,63,17,Tocantins,Sampaio,1718808,Licenciada,null,null,1,null
VIVO,35,31,Minas Gerais,Santana da Vargem,3158300,Licenciada,1,1,1,null
TIM,38,31,Minas Gerais,Couto de Magalhães de Minas,3120102,Licenciada,null,null,1,null
CLARO,54,43,Rio Grande do Sul,Jacutinga,4310900,Licenciada,3,1,3,null
TIM,77,29,Bahia,Bom Jesus da Lapa,2903904,Licenciada,4,2,3,null
TIM,51,43,Rio Grande do Sul,Relvado,4315453,Licenciada,null,null,1,null
TIM,54,43,Rio Grande do Sul,Gaurama,4308706,Licenciada,1,null,2,null
